"external_id","name_ar","name_en","meal_type","calories","protein_g","carbs_g","fat_g","serving_size","allergens","dietary_tags","review_status","image_master","image_delivery","image_thumbnail"
"MEAL-061","لبنة بالخيار والخبز العربي","Labneh Cucumber Pita Plate","Breakfast","458","18.7","43.2","24.7","1 serving","milk|gluten","vegetarian","approved","images/MEAL-061.png","delivery/MEAL-061/cover.webp","thumbnail/MEAL-061/cover-thumb.webp"
"MEAL-062","عصيدة الحنطة السوداء بالكمثرى","Buckwheat Pear Breakfast Porridge","Breakfast","424","18.3","65.2","13.2","1 serving","gluten|milk","vegetarian","approved","images/MEAL-062.png","delivery/MEAL-062/cover.webp","thumbnail/MEAL-062/cover-thumb.webp"
"MEAL-063","توست الشيلم بالسلمون المدخن","Smoked Salmon Rye Breakfast","Breakfast","331","21.1","36.7","10.8","1 serving","gluten|fish","","approved","images/MEAL-063.png","delivery/MEAL-063/cover.webp","thumbnail/MEAL-063/cover-thumb.webp"
"MEAL-064","شكشوكة البيض والفلفل","Pepper Tomato Shakshuka","Breakfast","342","26.1","14.8","19.5","1 serving","eggs","gluten_free|high_protein","approved","images/MEAL-064.png","delivery/MEAL-064/cover.webp","thumbnail/MEAL-064/cover-thumb.webp"
"MEAL-065","مقلاة الديك الرومي والبطاطس","Turkey Potato Breakfast Skillet","Breakfast","386","40.2","38.7","7.3","1 serving","","gluten_free|high_protein","approved","images/MEAL-065.png","delivery/MEAL-065/cover.webp","thumbnail/MEAL-065/cover-thumb.webp"
"MEAL-066","عصيدة الدخن بالتين والفستق","Millet Fig Pistachio Porridge","Breakfast","463","15.8","74.7","12.9","1 serving","milk|tree_nuts","vegetarian|gluten_free","approved","images/MEAL-066.png","delivery/MEAL-066/cover.webp","thumbnail/MEAL-066/cover-thumb.webp"
"MEAL-067","بولنتا البيض والسبانخ","Polenta Egg Spinach Bowl","Breakfast","379","18.2","36.9","17.6","1 serving","eggs","gluten_free","approved","images/MEAL-067.png","delivery/MEAL-067/cover.webp","thumbnail/MEAL-067/cover-thumb.webp"
"MEAL-068","صحن الماكريل والطماطم","Mackerel Tomato Breakfast Plate","Breakfast","376","22.2","28.0","19.4","1 serving","fish|gluten","","approved","images/MEAL-068.png","delivery/MEAL-068/cover.webp","thumbnail/MEAL-068/cover-thumb.webp"
"MEAL-069","قاروص مع الفارو والفاصوليا الخضراء","Sea Bass Farro Green Beans","Lunch","502","48.2","49.4","13.5","1 serving","fish|gluten","high_protein","approved","images/MEAL-069.png","delivery/MEAL-069/cover.webp","thumbnail/MEAL-069/cover-thumb.webp"
"MEAL-070","سلطة شاورما الدجاج بالزبادي","Chicken Shawarma Salad Bowl","Lunch","408","59.2","10.6","13.6","1 serving","milk","gluten_free|high_protein","approved","images/MEAL-070.png","delivery/MEAL-070/cover.webp","thumbnail/MEAL-070/cover-thumb.webp"
"MEAL-071","لحم غنم مع الفريكة والباذنجان","Lamb Freekeh Eggplant Plate","Lunch","588","45.4","50.9","22.8","1 serving","gluten|eggs","high_protein","approved","images/MEAL-071.png","delivery/MEAL-071/cover.webp","thumbnail/MEAL-071/cover-thumb.webp"
"MEAL-072","كرات الديك الرومي مع البولنتا","Turkey Meatballs with Polenta","Lunch","524","46.5","39.8","19.5","1 serving","","gluten_free|high_protein","approved","images/MEAL-072.png","delivery/MEAL-072/cover.webp","thumbnail/MEAL-072/cover-thumb.webp"
"MEAL-073","حلوى الحلوم المشوي مع الشعير","Grilled Halloumi Barley Bowl","Lunch","551","22.4","55.4","27.2","1 serving","milk|gluten","vegetarian","approved","images/MEAL-073.png","delivery/MEAL-073/cover.webp","thumbnail/MEAL-073/cover-thumb.webp"
